Fecha,ET,EH,ER,EHr,IEAM_C,VPD,EVPTRNS,Cluster_IEAM,Escenario_Simulado
2020-04-01,0.1333333333333333,0.7333333333333333,0.1333333333333333,0.1,0.4066666666666666,0.2666666666666666,0.6,2,Optimo
2020-05-01,0.032258064516129,0.6451612903225806,0.1935483870967742,0.5483870967741935,0.4741935483870967,0.1935483870967742,0.935483870967742,1,Riesgo
2020-06-01,0.1,0.8,0.1,0.5,0.4966666666666667,0.1333333333333333,0.9666666666666668,1,Riesgo
2020-07-01,0.1612903225806451,0.6774193548387096,0.032258064516129,0.5483870967741935,0.4516129032258065,0.032258064516129,1.0,1,Riesgo
2020-08-01,0.0,0.5806451612903226,0.032258064516129,0.4193548387096774,0.3983870967741936,0.032258064516129,1.0,1,Riesgo
2020-09-01,0.1333333333333333,0.7666666666666667,0.0666666666666666,0.2666666666666666,0.4966666666666667,0.2333333333333333,1.0,1,Riesgo
2020-10-01,0.032258064516129,0.6129032258064516,0.0967741935483871,0.5483870967741935,0.4532258064516129,0.1290322580645161,1.0,1,Riesgo
2020-11-01,0.0,0.5,0.0,0.0,0.51,0.7666666666666667,0.9666666666666668,0,Favorable
2020-12-01,0.1290322580645161,0.8387096774193549,0.0,0.1290322580645161,0.5080645161290324,0.2903225806451613,1.0,1,Riesgo
2021-01-01,0.4193548387096774,0.9032258064516128,0.1290322580645161,0.3870967741935484,0.5387096774193548,0.1290322580645161,0.935483870967742,1,Riesgo
2021-08-01,0.064516129032258,0.4838709677419355,0.032258064516129,0.967741935483871,0.532258064516129,0.4193548387096774,1.0,1,Riesgo
2021-09-01,0.2333333333333333,0.4666666666666667,0.2,0.9,0.5750000000000001,0.5,1.0,1,Riesgo
2021-10-01,0.064516129032258,0.4516129032258064,0.0967741935483871,0.6451612903225806,0.4338709677419355,0.1612903225806451,1.0,1,Riesgo
2021-11-01,0.1,0.7333333333333333,0.0666666666666666,0.7,0.5783333333333334,0.4333333333333333,1.0,1,Riesgo
2021-12-01,0.032258064516129,0.8064516129032258,0.0,0.3548387096774194,0.4403225806451613,0.1290322580645161,0.8387096774193549,1,Riesgo
2022-01-01,0.2580645161290322,0.8709677419354839,0.064516129032258,0.7419354838709677,0.535483870967742,0.0967741935483871,0.935483870967742,1,Riesgo
2022-02-01,0.0,0.6071428571428571,0.0714285714285714,0.5,0.4392857142857143,0.1785714285714285,0.9285714285714286,1,Riesgo
2022-03-01,0.0,0.4516129032258064,0.0,0.0,0.3435483870967741,0.3548387096774194,0.7096774193548387,0,Favorable
2022-04-01,0.0333333333333333,0.4,0.0,0.0333333333333333,0.4016666666666666,0.7,0.6,0,Favorable
2022-05-01,0.1935483870967742,0.4838709677419355,0.0967741935483871,0.0,0.4241935483870968,0.5806451612903226,0.6451612903225806,0,Favorable
2022-06-01,0.2666666666666666,0.4333333333333333,0.0,0.0,0.4666666666666667,0.7666666666666667,0.7,0,Favorable
2022-07-01,0.4193548387096774,0.7096774193548387,0.0,0.0,0.4612903225806451,0.3225806451612903,0.8064516129032258,3,Crítico
2022-08-01,0.2903225806451613,0.4516129032258064,0.1935483870967742,0.032258064516129,0.4983870967741935,0.7419354838709677,0.7419354838709677,0,Favorable
2022-09-01,0.0333333333333333,0.6333333333333333,0.0333333333333333,0.0,0.49,0.7666666666666667,0.6666666666666666,0,Favorable
2022-10-01,0.2580645161290322,0.4838709677419355,0.064516129032258,0.0,0.4967741935483871,0.935483870967742,0.5483870967741935,0,Favorable
2022-11-01,0.0333333333333333,0.6333333333333333,0.0,0.0,0.5516666666666666,1.0,0.7,0,Favorable
2022-12-01,0.5806451612903226,0.8064516129032258,0.0,0.0,0.5838709677419355,0.6774193548387096,0.7741935483870968,3,Crítico
2023-01-01,0.6774193548387096,0.8064516129032258,0.1935483870967742,0.1290322580645161,0.6016129032258064,0.5806451612903226,0.7741935483870968,3,Crítico
2023-02-01,0.3571428571428571,0.75,0.3214285714285714,0.25,0.3928571428571429,0.1071428571428571,0.4285714285714285,2,Optimo
2023-03-01,0.1612903225806451,0.5483870967741935,0.0,0.032258064516129,0.3435483870967741,0.3870967741935484,0.4516129032258064,2,Optimo
2023-04-01,0.0,0.5666666666666667,0.0,0.0,0.38,0.5,0.5666666666666667,0,Favorable
2023-05-01,0.1290322580645161,0.6451612903225806,0.1935483870967742,0.0967741935483871,0.4580645161290322,0.4516129032258064,0.7096774193548387,2,Optimo
2023-06-01,0.0666666666666666,0.7333333333333333,0.1666666666666666,0.0,0.4366666666666666,0.2,0.9,2,Optimo
2023-07-01,0.1612903225806451,0.8709677419354839,0.1290322580645161,0.3548387096774194,0.4129032258064516,0.032258064516129,0.6129032258064516,2,Optimo
2023-08-01,0.0,0.8620689655172413,0.3448275862068966,0.5172413793103449,0.4810344827586207,0.1379310344827586,0.7241379310344828,1,Riesgo
2023-09-01,0.0333333333333333,0.8,0.2,0.4333333333333333,0.355,0.0333333333333333,0.4,2,Optimo
2023-10-01,0.0,0.7096774193548387,0.032258064516129,0.0967741935483871,0.4258064516129032,0.4516129032258064,0.6129032258064516,2,Optimo
2023-11-01,0.1,0.7666666666666667,0.0,0.0,0.4616666666666666,0.5333333333333333,0.6333333333333333,0,Favorable
2023-12-01,0.1,0.8333333333333334,0.0333333333333333,0.2666666666666666,0.4616666666666666,0.2666666666666666,0.7333333333333333,2,Optimo
2024-01-01,0.4838709677419355,0.935483870967742,0.2258064516129032,0.935483870967742,0.6854838709677419,0.4516129032258064,0.8709677419354839,1,Riesgo
2024-02-01,0.1428571428571428,0.7142857142857143,0.25,0.5714285714285714,0.5553571428571429,0.3214285714285714,1.0,1,Riesgo
2024-03-01,0.1612903225806451,0.8064516129032258,0.0,0.6129032258064516,0.5338709677419354,0.3225806451612903,0.8709677419354839,1,Riesgo
2024-04-01,0.0333333333333333,0.7,0.1,0.3666666666666666,0.4266666666666667,0.3,0.6333333333333333,2,Optimo
2024-05-01,0.032258064516129,0.5806451612903226,0.032258064516129,0.0,0.4499999999999999,0.6774193548387096,0.6451612903225806,0,Favorable
2024-06-01,0.0,0.5,0.0333333333333333,0.0,0.4566666666666666,0.8333333333333334,0.6,0,Favorable
2024-07-01,0.064516129032258,0.8064516129032258,0.0,0.0,0.4854838709677419,0.3870967741935484,0.9032258064516128,1,Riesgo
2024-08-01,0.0,0.7096774193548387,0.1935483870967742,0.1290322580645161,0.4145161290322581,0.2258064516129032,0.7419354838709677,2,Optimo
2024-09-01,0.0,0.7,0.2,0.1666666666666666,0.3133333333333333,0.1666666666666666,0.3,2,Optimo
2024-10-01,0.0,0.6451612903225806,0.064516129032258,0.064516129032258,0.3903225806451613,0.4516129032258064,0.5161290322580645,2,Optimo
2024-11-01,0.0333333333333333,0.6333333333333333,0.0,0.0,0.5133333333333333,0.9,0.6333333333333333,0,Favorable
2024-12-01,0.2258064516129032,0.8387096774193549,0.0,0.0,0.4306451612903226,0.3548387096774194,0.5483870967741935,2,Optimo
